browser_natural_idle,os_natural_idle,browser_machine_idle,os_machine_idle,browser_natural_maximum_normal,os_natural_maximum_normal,browser_machine_maximum_normal,os_machine_maximum_normal,browser_natural_medium_abovenormal,os_natural_medium_abovenormal,browser_machine_medium_abovenormal,os_machine_medium_abovenormal,browser_natural_busy_abovenormal,os_natural_busy_abovenormal,browser_machine_busy_abovenormal,os_machine_busy_abovenormal,type
21.642439999999965,21.6422749,15.202499999999986,15.203031499999998,21.19322000000011,21.193338,15.483939999999848,15.484131099999999,19.68696,19.6874337,16.25760000000014,16.2423901,22.862700000000018,22.8563114,15.509259999999983,15.5092882,keydown
21.744080000000054,21.7443745,15.212440000000015,15.2132742,21.271439999999984,21.2716601,15.493979999999965,15.4943451,19.773059999999987,19.7737549,16.257880000000114,16.252549199999997,22.97854000000001,22.9744231,15.51908000000003,15.5194845,keyup
21.951599999999985,21.9516356,15.424460000000067,15.4250769,21.502340000000004,21.5024741,15.705400000000054,15.705579399999998,19.992459999999937,19.972469099999998,16.495940000000246,16.4620088,23.179640000000006,23.1810346,15.725279999999998,15.7254301,keydown
22.053260000000023,22.0535915,15.434439999999995,15.435287599999999,21.588480000000118,21.5887626,15.715400000000045,15.715795999999997,20.09270000000015,20.066848299999997,16.49620000000027,16.472166899999998,23.308940000000007,23.2832024,15.735119999999995,15.735611299999999,keyup
22.252740000000017,22.2527562,15.650420000000054,15.650959999999998,21.7956200000001,21.795693,15.926860000000033,15.926973199999999,20.2651400000002,20.2656432,16.71210000000019,16.6762212,23.508820000000014,23.489769199999998,15.941719999999975,15.941646600000002,keydown
22.338520000000017,22.3388429,15.660359999999969,15.661212899999999,21.865740000000187,21.8660047,15.936699999999973,15.937183399999999,20.35421999999994,20.336004799999998,16.712380000000167,16.6863818,23.608540000000005,23.5921029,15.951319999999953,15.9518463,keyup
22.553840000000037,22.5539254,15.866679999999974,15.8672164,22.088760000000093,22.0888051,16.14817999999991,16.1483363,20.574100000000044,20.558683600000002,16.89830000000029,16.8988953,23.834159999999997,23.8066005,16.17002000000008,16.1701016,keydown
22.663580000000024,22.6639596,15.876600000000053,15.8774783,22.174839999999904,22.1751062,16.158079999999927,16.158538399999998,20.65238000000022,20.6530324,16.908260000000155,16.9090571,23.934480000000008,23.9008981,16.179839999999956,16.1802842,keyup
22.87901999999997,22.8792353,16.089320000000043,16.089838099999998,22.38984000000005,22.3899045,16.369500000000016,16.3696777,20.857259999999997,20.8517989,17.11458000000016,17.115105200000002,24.147960000000012,24.124093499999997,16.384119999999996,16.3842983,keydown
22.97285999999997,22.9731405,16.09924000000001,16.1000507,22.483920000000126,22.4841963,16.379379999999855,16.3798852,20.957460000000083,20.946152499999997,17.124460000000227,17.125261799999997,24.215540000000033,24.217541699999998,16.394000000000005,16.3944863,keyup
23.18029999999999,23.1803961,16.30564000000004,16.306195199999998,22.69082000000003,22.691026,16.590859999999793,16.590984799999998,21.12850000000003,21.1290094,17.34624000000008,17.3468394,24.46217999999999,24.4639624,16.606939999999952,16.606983200000002,keydown
